IDOrganizzazione_1,IDOrganizzazione_2,similarità_campi dei piani,similarità_macroambiti dei piani,similarità_dimensione dell'organizzazione,similarità_popolazione residente nel comune dell'organizzazione,similarità_azioni eseguite (voci della tassonomia),similarità_composizione statistica dell'organico,similarità_anni di attività,similarità_settore dell'organizzazione,similarità_Media generale,similarità Media Piani delle organizzazioni,similarità Media caratteristiche delle organizzazioni
3,40015174,0.5454545454545454,0.8333333333333334,0.0,,0.13636363636363635,,0.0,0.0,0.189,0.417,0.0
3,31902916,0.45454545454545453,1.0,0.0,,0.03333333333333333,,0.0,0.0,0.186,0.5,0.0
3,11947394,0.08,0.8571428571428571,0.0,,0.11428571428571428,,0.42857142857142855,0.0,0.185,0.643,0.0
3,31243157,0.45454545454545453,1.0,0.0,,0.0,,0.0,0.0,0.182,0.5,0.0
3,11955001,0.09859154929577464,1.0,0.0,,0.05,,0.3,0.0,0.181,0.65,0.0
3,11933093,0.0,0.8333333333333334,0.0,,0.058823529411764705,,0.5,0.0,0.174,0.667,0.0
3,22865035,0.45454545454545453,0.6666666666666666,0.0,,0.09090909090909091,,0.0,0.0,0.152,0.333,0.0
3,11947372,0.0,1.0,0.0,,0.1,,0.0,0.0,0.138,0.5,0.0
3,13073313,0.36363636363636365,0.6666666666666666,0.0,,0.037037037037037035,,0.0,0.0,0.133,0.333,0.0
3,58418337,0.1,0.16666666666666666,0.0,,0.043478260869565216,,0.0,0.0,0.039,0.083,0.0
3,26,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,11417278,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1387,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,239,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,775,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1165,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
3,1365,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
